Month,Borough,Community District (CD),Borough Consultation Total SNAP Recipients,Borough Consultation Total SNAP Households,Borough Consultation Total Cash Assistance Recipients,Borough Consultation Total Cash Assistance Cases,Borough Consultation Total Medicaid Only Enrollees,Borough Consultation Total Medicaid Enrollees
03/01/2020,Brooklyn,K11,32328,19687,2774,1710,26809,39197
03/01/2020,Brooklyn,K12,57542,18790,9870,2448,42729,58275
03/01/2020,Brooklyn,K13,30029,20314,4762,2425,14239,31807
03/01/2020,Brooklyn,K14,27714,16800,4171,2438,17277,28597
03/01/2020,Brooklyn,K15,25811,16391,2862,1602,18199,29589
03/01/2020,Brooklyn,K16,35363,20091,11043,5571,9630,30042
03/01/2020,Brooklyn,K17,27712,17932,7031,4233,12465,25890
03/01/2020,Brooklyn,K18,26534,16181,4953,2699,14661,26291
03/01/2020,Manhattan,M01,2201,1795,673,569,1387,2807
03/01/2020,Manhattan,M02,2628,2146,284,269,2315,3334
03/01/2020,Manhattan,M03,34830,23982,6010,3982,20325,37838
03/01/2020,Manhattan,M04,11414,8584,2886,2128,5246,11742
03/01/2020,Manhattan,M05,5592,3857,2585,1630,1536,6113
03/01/2020,Manhattan,M06,4897,4224,992,888,2776,5297
03/01/2020,Manhattan,M07,15570,11645,3329,2365,7496,15884
